tem,rain,rain%,cloud,pressure,wind,gust,forecast,dateTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
25,0,0,46,1022,4,4,14,2009110412,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,41,1020,4,5,14,2009110415,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,20,1021,1,2,0,2009110418,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,14,1022,2,4,0,2009110421,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,16,1022,4,9,0,2009110500,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,7,1021,5,10,0,2009110503,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,6,1022,6,9,0,2009110506,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,6,1022,6,7,0,2009110509,0,0,0,0,0,0,0,0,0,0,1,0
27,0,0,4,1019,6,7,0,2009110512,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,6,1016,2,2,0,2009110515,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,8,1018,3,5,0,2009110518,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,2,1018,3,6,0,2009110521,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,4,1018,4,8,0,2009110600,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,55,1017,6,14,14,2009110603,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,54,1018,4,6,14,2009110606,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,21,1017,5,6,0,2009110609,0,0,0,0,0,0,0,0,0,0,1,0
31,0,0,11,1013,1,1,0,2009110612,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,7,1011,4,5,0,2009110615,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,7,1012,9,20,0,2009110618,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,10,1014,6,12,0,2009110621,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,8,1014,1,3,0,2009110700,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,9,1013,3,6,0,2009110703,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,12,1014,3,3,0,2009110706,0,0,0,0,0,0,0,0,0,0,1,0
34,0,0,2,1014,1,1,0,2009110709,0,0,0,0,0,0,0,0,0,0,1,0
37,0,0,3,1012,2,2,0,2009110712,0,0,0,0,0,0,0,0,0,0,1,0
35,0,0,5,1010,4,4,0,2009110715,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,5,1011,12,22,0,2009110718,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,8,1012,7,12,0,2009110721,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,18,1012,5,8,0,2009110800,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,100,1011,4,7,2,2009110803,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,51,1013,4,5,14,2009110806,0,0,0,0,0,0,0,0,0,0,1,0
33,0,0,55,1013,4,4,14,2009110809,0,0,0,0,0,0,0,0,0,0,1,0
38,0,0,30,1010,4,4,14,2009110812,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,9,1008,8,10,0,2009110815,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,7,1009,11,18,0,2009110818,0,0,0,0,0,0,0,0,0,0,1,0
27,0,0,11,1010,8,13,0,2009110821,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,39,1010,5,8,8,2009110900,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,100,1009,4,7,2,2009110903,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,51,1010,6,8,14,2009110906,0,0,0,0,0,0,0,0,0,0,1,0
35,0,0,34,1009,5,6,14,2009110909,0,0,0,0,0,0,0,0,0,0,1,0
40,0,0,8,1006,1,1,0,2009110912,0,0,0,0,0,0,0,0,0,0,1,0
38,0,0,12,1004,5,6,0,2009110915,0,0,0,0,0,0,0,0,0,0,1,0
31,0,0,6,1005,13,21,0,2009110918,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,8,1006,8,13,0,2009110921,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,16,1006,4,6,0,2009111000,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,13,1005,1,2,8,2009111003,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,9,1006,3,3,0,2009111006,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,4,1006,3,3,0,2009111009,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,8,1004,2,2,0,2009111012,0,0,0,0,0,0,0,0,0,0,1,0
37,0,0,8,1002,8,11,0,2009111015,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,6,1003,13,22,0,2009111018,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,5,1005,9,14,0,2009111021,0,0,0,0,0,0,0,0,0,0,1,0
27,0,0,7,1004,4,7,0,2009111100,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,7,1004,2,3,0,2009111103,0,0,0,0,0,0,0,0,0,0,1,0
27,0,0,2,1006,8,11,0,2009111106,0,0,0,0,0,0,0,0,0,0,1,0
34,0,0,3,1006,5,5,0,2009111109,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,4,1004,4,5,0,2009111112,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,7,1003,4,5,0,2009111115,0,0,0,0,0,0,0,0,0,0,1,0
30,0,0,6,1005,11,21,0,2009111118,0,0,0,0,0,0,0,0,0,0,1,0
29,0,0,4,1006,10,16,0,2009111121,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,4,1008,7,12,0,2009111200,0,0,0,0,0,0,0,0,0,0,1,0
27,0,0,7,1008,1,1,0,2009111203,0,0,0,0,0,0,0,0,0,0,1,0
28,0,0,5,1010,3,3,0,2009111206,0,0,0,0,0,0,0,0,0,0,1,0
38,0,0,5,1011,4,4,0,2009111209,0,0,0,0,0,0,0,0,0,0,1,0
40,0,0,9,1010,7,8,0,2009111212,0,0,0,0,0,0,0,0,0,0,1,0
34,1.5,0,15,1010,14,19,18,2009111215,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,88,1014,8,13,13,2009111218,0,0,0,0,0,0,0,0,0,0,1,0
25,1.4,0,88,1015,14,21,7,2009111221,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,100,1018,12,18,13,2009111300,0,0,0,0,0,0,0,0,0,0,1,0
17,0.8,0,100,1018,11,16,6,2009111303,0,0,0,0,0,0,0,0,0,0,1,0
17,0.2,0,100,1019,13,20,5,2009111306,0,0,0,0,0,0,0,0,0,0,1,0
18,0.1,0,69,1019,6,8,1,2009111309,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,37,1017,5,5,14,2009111312,0,0,0,0,0,0,0,0,0,0,1,0
21,0,0,37,1015,6,8,14,2009111315,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,39,1017,5,8,14,2009111318,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,54,1017,2,4,14,2009111321,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,69,1017,4,7,1,2009111400,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,72,1016,5,8,1,2009111403,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,65,1017,6,9,1,2009111406,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,61,1017,4,5,14,2009111409,0,0,0,0,0,0,0,0,0,0,1,0
26,0,0,60,1013,4,5,14,2009111412,0,0,0,0,0,0,0,0,0,0,1,0
25,0,0,74,1010,8,10,1,2009111415,0,0,0,0,0,0,0,0,0,0,1,0
20,0,0,93,1013,6,11,13,2009111418,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,97,1013,7,11,13,2009111421,0,0,0,0,0,0,0,0,0,0,1,0
19,0,0,100,1013,6,9,13,2009111500,0,0,0,0,0,0,0,0,0,0,1,0
17,0.7,0,100,1012,6,9,5,2009111503,0,0,0,0,0,0,0,0,0,0,1,0
16,0.4,0,100,1013,7,10,5,2009111506,0,0,0,0,0,0,0,0,0,0,1,0
16,0.5,0,100,1014,6,9,5,2009111509,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,100,1012,6,8,13,2009111512,0,0,0,0,0,0,0,0,0,0,1,0
16,0.1,0,100,1010,6,8,13,2009111515,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,100,1012,11,16,13,2009111518,0,0,0,0,0,0,0,0,0,0,1,0
15,0.7,0,100,1014,5,7,5,2009111521,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,100,1014,6,9,13,2009111600,0,0,0,0,0,0,0,0,0,0,1,0
14,1.6,0,100,1015,9,13,6,2009111603,0,0,0,0,0,0,0,0,0,0,1,0
13,0.3,0,100,1016,11,17,5,2009111606,0,0,0,0,0,0,0,0,0,0,1,0
13,0.8,0,100,1019,9,13,6,2009111609,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,100,1018,7,10,13,2009111612,0,0,0,0,0,0,0,0,0,0,1,0
14,0.2,0,100,1017,6,8,5,2009111615,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,100,1019,9,15,13,2009111618,0,0,0,0,0,0,0,0,0,0,1,0
14,0.3,0,100,1022,6,10,5,2009111621,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,94,1024,10,16,13,2009111700,0,0,0,0,0,0,0,0,0,0,1,0
10,0.4,0,100,1025,10,16,5,2009111703,0,0,0,0,0,0,0,0,0,0,1,0
9,0.3,0,71,1027,11,18,15,2009111706,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,42,1027,13,17,14,2009111709,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,28,1025,13,15,14,2009111712,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,28,1022,9,12,14,2009111715,0,0,0,0,0,0,0,0,0,0,1,0
13,0,0,28,1024,4,9,14,2009111718,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,25,1025,6,11,0,2009111721,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,32,1026,2,3,14,2009111800,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,51,1025,5,8,14,2009111803,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,44,1026,9,13,14,2009111806,0,0,0,0,0,0,0,0,0,0,1,0
15,0,0,43,1025,4,5,14,2009111809,0,0,0,0,0,0,0,0,0,0,1,0
